labID;age;error;depth;cc;dR;dSTD;ta;tb
Poz-158906;845;30;1770;2;0;0;3;4
Beta - 602821;1820;30;1800;2;0;0;3;4
Poz-143809;2245;35;1905;2;0;0;3;4
Poz-158910;3290;30;2170;2;0;0;3;4
Poz-158912;3620;30;2220;2;0;0;3;4
Poz-158907;3690;30;2230;2;0;0;3;4
Poz-158908;3825;30;2290;2;0;0;3;4
Poz-158909;3740;30;2475;2;0;0;3;4
Poz-158913;4620;35;2535;2;0;0;3;4
Poz-143808;4900;40;2565;2;0;0;3;4
Poz-143806;7230;40;3000;2;0;0;3;4
Poz-143807;7840;50;3250;2;0;0;3;4
Poz-143804;9800;60;3570;2;0;0;3;4
Poz-158911;9750;50;3790;2;0;0;3;4
Poz-142765;9550;50;3810;2;0;0;3;4
