"","core","SQchord","upper_age","lower_age"
"1","S2",0.141715728752538,0,0
"2","S2",0.0627259338968745,0,0
"3","S2",0.0617157287525381,0,0
"4","S2",0.06,0,0
"5","S2",0.716711719940621,0,0
"6","S2",2.81904226150804,0,0
"7","S2",2.15394347781442,264,1074
"8","S2",0.492369002161468,722,1268
"9","S2",2.10542293478606,1204,1698
"10","S2",1.10848114707132,1258,1711
"11","S2",1.1776602737445,1351,1785
"12","S2",0.464961808609759,1474,1851
"13","S2",1.74634350418981,1538,1939
"14","S2",0.38,1560,2031
"15","S2",1.47,1589,2051
"16","S2",0.911378515258752,1644,2166
"17","S2",1.61704551704893,1721,2240
"18","S2",0.18788897449072,1781,2321
"19","S2",3.50260915531913,2817,3197
"20","S2",0.903633537672982,2858,3215
"21","S2",1.54551483536917,2924,3327
"22","S2",2.11992396509604,3065,3376
"23","S2",0.219905652909994,3205,3440
"24","S2",0.324523707033202,3255,3505
"25","S2",0.426458152101858,3275,3520
"26","S2",0.436460382424463,3315,3613
"27","S2",1.20082803130668,3377,3664
"28","S2",0.908584720959301,3434,3726
"29","S2",0.810414835952731,3464,3774
"30","S2",0.475163362019762,3480,3791
"31","S2",0.266624303542348,3514,3891
"32","S2",0.666354796070248,3561,3958
"33","S2",1.12701877051676,3607,4035
"34","S2",0.951854095789588,3630,4094
"35","S2",1.11797995727887,3651,4110
"36","S2",1.28853105076673,3692,4185
"37","S2",0.820584217631253,3739,4243
"38","S2",0.768212936327202,3790,4298
"39","S2",1.30940768984004,4035,4581
"40","S2",1.85464384125978,4066,4599
"41","S2",1.43070988618447,4143,4676
"42","S2",0.806220680800044,4252,4734
"43","S2",1.17740204596131,4385,4792
"44","S2",1.09722767040236,4463,4838
"45","S2",1.80688398747974,4521,4856
"46","S2",0.547114020035072,4616,5010
"47","S2",1.18104562667515,4735,5129
"48","S2",1.75290881116922,4802,5263
"49","S2",1.42890953943506,4836,5377
"50","S2",0.919382773762943,4860,5403
"51","S2",0.796991177626532,4911,5542
"52","S2",0.790088935999626,4978,5642
"53","S2",1.28669062231287,5041,5748
"54","S2",1.60852950989955,5071,5825
"55","S2",0.536903193887198,5102,5851
"56","S2",0.797644631347255,5166,5949
"57","S2",0.562943812052523,5236,6037
"58","S2",1.58835238985488,5301,6129
"59","S2",1.65672892956862,5648,6562
"60","S2",0.604718055948707,5750,6654
"61","S2",2.51532833215861,5924,6813
"62","S2",2.8564218932096,5969,6871
"63","S2",2.75268429080273,6092,6977
"64","S2",2.47533308352884,6293,7116
"65","S2",2.37558510798361,6334,7168
"66","S2",2.02351166899184,6458,7259
"67","S2",1.79099363630816,6670,7378
"68","S2",0.60581277088732,6724,7427
"69","S2",0.486652288149524,6860,7496
"70","S2",1.18496124898879,7059,7588
"71","S2",1.82332748826567,7317,7881
"72","S2",0.634197342332278,7394,7944
"73","S2",1.25508233982529,7507,8041
"74","S2",0.610496451655411,7541,8074
"75","S2",3.17362314366115,7623,8142
"76","S2",7.07788897449072,7744,8228
"77","S2",4.02349808534486,7780,8266
"78","S2",3.09,7852,8336
"79","S2",1.52375459532033,7991,8429
"80","S2",1.3116299874126,8026,8465
"81","S2",0.963329926020313,8089,8601
"82","S2",0.790237738787828,8198,8780
"83","S2",0.205108747069239,8223,8844
"84","S2",0.290910976997934,8295,8970
"85","S2",0.352128771575109,8417,9135
"86","S2",0.644625671556417,8445,9190
"87","S2",0.494489829190915,8529,9298
"88","S2",0.978795604428779,8664,9431
"89","S2",0.02,8700,9500
"90","S2",1.5177845944745,8972,9800
"91","S2",1.35330006309159,9059,9887
"92","S2",2.05357143794506,9221,10045
"93","S2",1.87744926224003,9258,10090
"94","S2",5.74455028065241,9364,10202
"95","S2",1.74176630440829,9486,10280
"96","S2",2.50422445479753,9516,10306
"97","S2",0.968897602837112,9586,10354
"98","S2",1.09575369645584,9703,10440
"99","S2",0.125147186257614,9737,10483
"100","S2",0.100506170106237,9805,10533
"101","S2",0.0520204102886729,9935,10635
"102","S2",0.0787904413536986,10060,10743
"103","S2",3.29493770100231,10233,10857
"104","S2",5.41089730168055,10284,10953
"105","S2",5.88503300077901,0,0
"106","S2",0.30648605731876,0,0
"107","S2",0.533667504192892,0,0
"108","S2",0.207074712601161,0,0
"109","Carlet",0,963,1145
"110","Carlet",0,1020,1201
"111","Carlet",0,1040,1234
"112","Carlet",0.122822021129187,1108,1355
"113","Carlet",2.59589063084063,2643,3327
"114","Carlet",0.806516278961551,2850,3555
"115","Carlet",0.170569291512544,3566,4300
"116","Carlet",0.335666408574134,3645,4391
"117","Carlet",0.618836914154817,4392,5158
"118","Carlet",0.626822341367535,4759,5495
"119","Carlet",0.488554293487147,4852,5601
"120","Carlet",0.543589434568892,5511,6147
"121","Carlet",0.707077835033509,5600,6213
"122","Carlet",1.37618892255808,5768,6352
"123","Carlet",0.846864505003939,5959,6469
"124","Carlet",0.687542962581202,6149,6610
"125","Carlet",0.700444673525637,6360,6732
"126","Carlet",0.682042832580717,6651,7077
"127","Carlet",0.206020629799915,6823,7246
"128","Carlet",0.570105621212592,6992,7393
"129","Carlet",0.203869986886849,7121,7491
"130","Carlet",0.149211922106263,7267,7587
"131","Carlet",0.306005913367686,7412,7684
"132","Carlet",0.0966694154964228,7512,7779
"133","Carlet",0.100100066233015,7606,7857
"134","Carlet",0.647064358273411,7690,7974
"135","Carlet",0.692784852419892,7777,8095
"136","Carlet",0.660224306570764,0,0
"137","Carlet",0.314683451385518,0,0
"138","Carlet",0.902565491877551,0,0
"139","StJaume",0.458650536037713,-62,46
"140","StJaume",0.357767069894367,-29,94
"141","StJaume",0.694364221304954,-20,105
"142","StJaume",0.196177907194429,-16,111
"143","StJaume",0.659105543028092,-3,129
"144","StJaume",1.3652543250557,16,150
"145","StJaume",1.33722388675432,30,166
"146","StJaume",0.177627854007192,44,182
"147","StJaume",0.290659302817372,107,251
"148","StJaume",1.06474238798578,121,265
"149","StJaume",0.480899630043296,135,281
"150","StJaume",1.44508037633502,173,321
"151","StJaume",1.2886781776967,189,337
"152","StJaume",0.935629641395853,205,352
"153","StJaume",2.2807451025856,221,367
"154","StJaume",1.2862566816078,268,412
"155","StJaume",1.54351868913387,287,432
"156","StJaume",0.561006293267788,305,448
"157","StJaume",2.01419072787668,320,462
"158","StJaume",1.95043642731171,433,576
"159","StJaume",1.44353568705141,450,594
"160","StJaume",1.05393986589613,471,615
"161","StJaume",0.462416103457209,480,623
"162","StJaume",1.24531267093247,638,801
"163","StJaume",0.687410735883816,664,828
"164","StJaume",0.682926392473563,681,846
"165","StJaume",0.39441194250485,698,864
"166","StJaume",0.423053275264027,714,880
"167","StJaume",1.11103032163837,731,899
"168","StJaume",0.538800522714922,749,919
"169","StJaume",1.03445445435884,805,979
"170","StJaume",0.542422170294045,824,997
"171","StJaume",1.8787269585341,841,1017
"172","StJaume",0.982374153527094,859,1038
"173","StJaume",1.22130233479361,878,1058
"174","StJaume",0.544800906023241,897,1079
"175","StJaume",0.660252643347075,976,1161
"176","StJaume",0.402305448369988,994,1182
"177","StJaume",0.366336143603162,1017,1201
"178","StJaume",0.345037325948117,1037,1220
"179","StJaume",0.827414957641292,1055,1240
"180","StJaume",1.31982610937122,1079,1266
"181","StJaume",0.943035440745013,1098,1286
"182","StJaume",1.69410076242435,0,0
"183","StJaume",1.13332743792374,0,0
"184","StJaume",0.691744825871495,0,0
"185","StJaume",0.569886190214981,0,0
"186","StJaume",1.12834551221087,0,0
"187","StJaume",0.969835354683788,0,0
